t,y
0.00E+00,-2.82E-04
3.33E-02,-3.34E-04
6.67E-02,-2.75E-04
1.00E-01,-2.91E-04
1.33E-01,-5.60E-04
1.67E-01,-5.34E-04
2.00E-01,-1.05E-03
2.33E-01,-1.21E-03
2.67E-01,-1.26E-03
3.00E-01,-8.61E-04
3.33E-01,-6.92E-04
3.67E-01,-5.93E-04
4.00E-01,-7.25E-04
4.33E-01,-8.70E-04
4.67E-01,-1.52E-03
5.00E-01,-1.30E-03
5.33E-01,-4.07E-03
5.67E-01,-1.81E-02
6.00E-01,-4.52E-02
6.33E-01,-7.99E-02
6.67E-01,-1.29E-01
7.00E-01,-1.87E-01
7.33E-01,-2.58E-01
7.67E-01,-3.43E-01
8.00E-01,-4.35E-01
8.33E-01,-5.44E-01
8.67E-01,-6.59E-01
9.00E-01,-7.89E-01
9.33E-01,-9.24E-01
9.67E-01,-1.07E+00
