t,x,y,vx,vy,v,ax,ay,a
2.67E-01,-4.27E-03,2.87E-02,,,,,,
3.00E-01,-8.37E-03,1.45E-02,-7.28E-02,-7.68E-01,7.72E-01,,,
3.33E-01,-9.13E-03,-2.25E-02,3.16E-01,-9.49E-01,1.00E+00,6.41E+00,-1.16E+01,1.32E+01
3.67E-01,1.27E-02,-4.87E-02,4.70E-01,-1.36E+00,1.44E+00,-7.48E-01,-1.72E+01,1.72E+01
4.00E-01,2.22E-02,-1.13E-01,1.80E-01,-2.24E+00,2.25E+00,-7.38E+00,-1.95E+01,2.08E+01
4.33E-01,2.47E-02,-1.98E-01,-1.33E-02,-2.65E+00,2.65E+00,-4.35E+00,-9.20E+00,1.02E+01
4.67E-01,2.13E-02,-2.90E-01,-1.17E-01,-2.83E+00,2.83E+00,6.15E-01,-5.22E+00,5.25E+00
5.00E-01,1.69E-02,-3.87E-01,1.44E-02,-2.99E+00,2.99E+00,4.51E+00,-3.97E+00,6.01E+00
5.33E-01,2.23E-02,-4.89E-01,2.20E-01,-3.10E+00,3.11E+00,4.33E+00,-3.70E+00,5.70E+00
5.67E-01,3.15E-02,-5.93E-01,2.96E-01,-3.22E+00,3.23E+00,1.63E-01,-3.12E+00,3.12E+00
6.00E-01,4.20E-02,-7.04E-01,2.39E-01,-3.33E+00,3.34E+00,-1.34E-01,-3.26E+00,3.26E+00
6.33E-01,4.74E-02,-8.15E-01,2.50E-01,-3.42E+00,3.43E+00,-6.50E-01,-1.93E+00,2.03E+00
6.67E-01,5.87E-02,-9.32E-01,2.44E-01,-3.47E+00,3.48E+00,1.02E+00,1.49E+00,1.80E+00
7.00E-01,6.37E-02,-1.05E+00,2.63E-01,-3.33E+00,3.34E+00,7.38E-01,2.65E+00,2.75E+00
7.33E-01,7.62E-02,-1.15E+00,3.43E-01,-3.25E+00,3.27E+00,1.49E+00,1.34E+00,2.00E+00
7.67E-01,8.66E-02,-1.26E+00,3.34E-01,-3.28E+00,3.30E+00,8.51E-01,2.28E-01,8.81E-01
8.00E-01,9.85E-02,-1.37E+00,4.04E-01,-3.22E+00,3.25E+00,1.68E+00,-1.35E-01,1.68E+00
8.33E-01,1.14E-01,-1.48E+00,4.56E-01,-3.28E+00,3.31E+00,4.66E+00,4.09E-01,4.68E+00
8.67E-01,1.29E-01,-1.59E+00,6.78E-01,-3.24E+00,3.31E+00,3.31E+00,6.40E-01,3.37E+00
9.00E-01,1.59E-01,-1.69E+00,7.58E-01,-3.18E+00,3.27E+00,6.06E-01,1.30E-01,6.20E-01
9.33E-01,1.79E-01,-1.80E+00,6.44E-01,-3.26E+00,3.32E+00,6.99E-01,-2.07E+00,2.19E+00
9.67E-01,2.02E-01,-1.91E+00,8.11E-01,-3.31E+00,3.41E+00,2.34E+00,-3.66E+00,4.34E+00
1.00E+00,2.34E-01,-2.02E+00,8.52E-01,-3.49E+00,3.59E+00,2.44E-01,-3.07E+00,3.08E+00
1.03E+00,2.59E-01,-2.14E+00,7.74E-01,-3.56E+00,3.64E+00,-9.81E-01,-1.52E+00,1.81E+00
1.07E+00,2.85E-01,-2.26E+00,8.07E-01,-3.54E+00,3.63E+00,,,
1.10E+00,3.12E-01,-2.38E+00,,,,,,
